Transaction Date,Description,Category,Amount,Balance
2026-08-01,Payroll Direct Deposit - Horizon Logistics,Income,2450.00,3120.55
2026-08-02,  Trader Joe's #114 ,Groceries,-86.42,3034.13
2026-08-02,STARBUCKS COFFEE #229,Dining,-5.75,3028.38
2026-08-03,Amazon.com*A1B2C3D4,,-42.19,2986.19
2026-08-03,Amazon.com*A1B2C3D4,,-42.19,2944.00
2026-08-04,Shell Oil 4471,Transportation,-38.60,2905.40
2026-08-05,  netflix.com   ,Subscriptions,-15.49,2889.91
2026-08-06,Riverbend Apartments - Rent,Housing,-1200.00,1689.91
2026-08-07,starbucks coffee #114,Dining,-6.10,1683.81
2026-08-08,Green Valley Gym,,-40.00,1643.81
2026-08-09,Trader Joe's #114,Groceries,-52.87,1590.94
2026-08-10,Pacific Gas & Electric,Utilities,-95.32,1495.62
2026-08-11,  UBER   *TRIP HELP.UBER.COM,Transportation,-14.75,1480.87
2026-08-12,Chipotle Mexican Grill 0231,Dining,-11.40,1469.47
2026-08-13,Comcast Cable,Utilities,-79.99,1389.48
2026-08-14,STARBUCKS COFFEE #229,Dining,-4.95,1384.53
2026-08-15,Payroll Direct Deposit - Horizon Logistics,Income,2450.00,3834.53
2026-08-16,Target Store T-0442,Shopping,-64.28,3770.25
2026-08-17,  spotify usa   ,Subscriptions,-11.99,3758.26
2026-08-18,Trader Joe's #114,Groceries,-73.05,3685.21
2026-08-19,Shell Oil 4471,Transportation,-41.10,3644.11
2026-08-20,Riverbend Apartments - Parking Fee,Housing,-45.00,3599.11
2026-08-21,Chipotle Mexican Grill 0231,Dining,-13.85,3585.26
2026-08-22,Green Valley Gym,,-40.00,3545.26
2026-08-23,Best Buy #1187,Shopping,-129.99,3415.27
2026-08-24,starbucks coffee #114,Dining,-5.35,3409.92
2026-08-25,  UBER   *TRIP HELP.UBER.COM,Transportation,-22.10,3387.82
2026-08-26,Pacific Gas & Electric,Utilities,-88.17,3299.65
2026-08-27,Trader Joe's #114,Groceries,-61.94,3237.71
2026-08-28,Target Store T-0442,Shopping,-38.50,3199.21
2026-08-29,Payroll Direct Deposit - Horizon Logistics,Income,2450.00,5649.21
2026-08-30,Comcast Cable,Utilities,-79.99,5569.22
